preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.229212301256686,1962,109,,/title/tt0056592/
2,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.229063716142603,1973,110,,/title/tt0070735/
3,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.228884145904654,1976,111,,/title/tt0075314/
4,Spider-Man: sin camino a casa,"Jon Watts (dir.), Tom Holland, Zendaya",8.226034270954493,2021,112,,/title/tt10872600/
1,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.225530906929682,1997,113,,/title/tt0119488/
2,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224220009152956,2009,114,,/title/tt1049413/
3,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.22404510400847,2020,115,,/title/tt8503618/
4,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2229585048316,1995,116,,/title/tt0113277/
1,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.22126476548521,1927,117,,/title/tt0017136/
2,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.220727578859908,2000,118,,/title/tt0208092/
3,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.220589124149804,2011,119,,/title/tt1832382/
4,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.220327280928956,1988,120,,/title/tt0095016/
1,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.219264419396575,2010,121,,/title/tt1255953/
2,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.218398804609752,1989,122,,/title/tt0097576/
3,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.217708248225465,1948,123,,/title/tt0040522/
4,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.212303469217131,2019,124,,/title/tt8579674/
1,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.206253986574339,2007,125,,/title/tt0986264/
2,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.204762389316608,2004,126,,/title/tt0363163/
3,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.203642256728589,1965,127,,/title/tt0059578/
4,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.202562072278983,2005,128,,/title/tt0372784/
1,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.198165474347197,2016,129,,/title/tt5074352/
2,El chiquillo,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.194915583865127,1921,130,,/title/tt0012349/
3,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.191641649943286,1959,131,,/title/tt0053291/
4,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.184499905022191,2020,132,,/title/tt10272386/
1,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180134803286215,1950,133,,/title/tt0042192/
2,Green Book: Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.174240785179228,2018,134,,/title/tt6966692/
3,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.171019818513653,2013,135,,/title/tt0993846/
4,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.168189455049198,1961,136,,/title/tt0055031/
1,Los imperdonables,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.164894148417599,1992,137,,/title/tt0105695/
2,El laberinto del fauno,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.163715189246439,2006,138,,/title/tt0457430/
3,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163652783383467,1995,139,,/title/tt0112641/
4,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.163388311888763,1985,140,,/title/tt0089881/
1,Petróleo sangriento,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.154547284576397,2007,141,,/title/tt0469494/
2,El sexto sentido,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.153642116898771,1999,142,,/title/tt0167404/
3,Una mente brillante,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.153303946667627,2001,143,,/title/tt0268978/
4,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.153146925712916,1975,144,,/title/tt0071853/
1,The Truman Show: Historia de una vida,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.150965106319827,1998,145,,/title/tt0120382/
2,Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.149127063559567,1961,146,,/title/tt0055630/
3,El tesoro de la Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.14813938247976,1948,147,,/title/tt0040897/
4,Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.143338962165215,1950,148,,/title/tt0042876/
1,El gran escape,"John Sturges (dir.), Steve McQueen, James Garner",8.142463367257516,1963,149,,/title/tt0057115/
2,La isla siniestra,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.142161479648863,2010,150,,/title/tt1130884/
3,Parque jurásico,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.137300108162378,1993,151,,/title/tt0107290/
4,Kill Bill Vol 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.137242512940924,2003,152,,/title/tt0266697/
1,Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.13500450953627,2007,153,,/title/tt0477348/
2,El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.13158253837355,1980,154,,/title/tt0080678/
3,Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131173402270731,2003,155,,/title/tt0266543/
4,El toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.130291591090854,1980,156,,/title/tt0081398/
1,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129192435639725,1974,157,,/title/tt0071315/
2,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.127237804499368,1939,158,,/title/tt0031381/
3,V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.126434538017284,2005,159,,/title/tt0434409/
4,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.125012967444713,2015,160,,/title/tt2096673/
1,La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.12404180105392,1982,161,,/title/tt0084787/
2,"Juegos, trampas y dos armas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.123895298287566,1998,162,,/title/tt0120735/
3,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.119089048883312,1954,163,,/title/tt0046912/
4,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.118351101724027,2009,164,,/title/tt1305806/
1,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.114987810097075,1957,165,,/title/tt0050212/
2,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.114403229382791,2004,166,,/title/tt0347149/
3,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111926333527723,2017,167,,/title/tt5027774/
4,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.111773069035769,1996,168,,/title/tt0117951/
1,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.105759048061108,2008,169,,/title/tt1205489/
2,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.105301498897107,2011,170,,/title/tt1291584/
3,"Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.103616249100543,1996,171,,/title/tt0116282/
4,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.095556172342684,1988,172,,/title/tt0096283/
1,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.09422082307443,2013,173,,/title/tt1392214/
2,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.090179796370947,2004,174,,/title/tt0405159/
3,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.087994869791471,1925,175,,/title/tt0015864/
4,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.087344846049005,1982,176,,/title/tt0083658/
1,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.085724744616218,2002,177,,/title/tt0264464/
2,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.085138836344425,1954,178,,/title/tt0047296/
3,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.083046411319224,1949,179,,/title/tt0041959/
4,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.08175682874475,1997,180,,/title/tt0118849/
1,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.078968826886777,1959,181,,/title/tt0052618/
2,El general,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.078492444679444,1926,182,,/title/tt0017925/
3,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.078102130397895,2013,183,,/title/tt2024544/
4,Las fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.07754585532117,1957,184,,/title/tt0050986/
1,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.077411216578199,2014,185,,/title/tt2267998/
2,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.076228473293021,1995,186,,/title/tt0112471/
3,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.07614374650763,1978,187,,/title/tt0077416/
4,Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.075499336822253,2011,188,,/title/tt1201607/
1,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.074724588226529,1993,189,,/title/tt0107207/
2,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.072003328858997,2014,190,,/title/tt2278388/
3,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.071703047825736,1939,191,,/title/tt0031679/
4,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.070867928495975,1953,192,,/title/tt0046268/
1,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.070076696431158,1924,193,,/title/tt0015324/
2,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.068939018924219,1975,194,,/title/tt0072684/
3,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.068204387906826,2003,195,,/title/tt0353969/
4,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.068181452455242,2015,196,,/title/tt3170832/
1,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.066621174817856,2016,197,,/title/tt2119532/
2,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.066410780028422,1957,198,,/title/tt0050976/
3,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.06615806709088,2019,199,,/title/tt4729430/
4,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.064918703216337,2014,200,,/title/tt3011894/
1,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.063239342508425,1998,201,,/title/tt0118715/
2,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.062144632392357,2010,202,,/title/tt0892769/
3,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061526769986296,2015,203,,/title/tt1392190/
4,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.060486101820192,2009,204,,/title/tt0978762/
1,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.05813341400809,2001,205,,/title/tt0198781/
2,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.057705321733552,1975,206,,/title/tt0073195/
3,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.056365945050258,1928,207,,/title/tt0019254/
4,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.055026917516424,1955,208,,/title/tt0048473/
1,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.053361181565922,2004,209,,/title/tt0395169/
2,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.052133876255553,1953,210,,/title/tt0046438/
3,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.051918426252659,1989,211,,/title/tt0097165/
4,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.047690071105537,1986,212,,/title/tt0091763/
1,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.047288155804669,1976,213,,/title/tt0075148/
2,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.045253257639349,2019,214,,/title/tt1950186/
3,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.04242620488228,1986,215,,/title/tt0092005/
4,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.041381880987942,1984,216,,/title/tt0088247/
1,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.039733993793346,2013,217,,/title/tt1979320/
2,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.039298805703492,2015,218,,/title/tt1895587/
3,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.03815676637959,2007,219,,/title/tt0758758/
4,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.037300077941982,1976,220,,/title/tt0074958/
1,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.03623422488036,1939,221,,/title/tt0032138/
2,Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.03507260158936,2017,222,,/title/tt3315342/
3,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.032897478830824,1993,223,,/title/tt0107048/
4,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.030889302376822,2007,224,,/title/tt0382932/
1,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.028631719524812,1973,225,,/title/tt0070047/
2,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.028040211350737,2004,226,,/title/tt0381681/
3,Lo mejor de nuestra vida,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.025885647319575,1946,227,,/title/tt0036868/
4,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025261707681777,2004,228,,/title/tt0317705/
1,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.024978813437489,1942,229,,/title/tt0035446/
2,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.023124732051373,1966,230,,/title/tt0058946/
3,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.022875578945268,1940,231,,/title/tt0032976/
4,Viacrucis,"John Ford (dir.), Henry Fonda, Jane Darwell",8.02237684048134,1940,232,,/title/tt0032551/
1,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.021872094586717,2009,233,,/title/tt1028532/
2,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.021614444883777,1967,234,,/title/tt0061512/
3,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021293056522417,2000,235,,/title/tt0245712/
4,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.017544369328803,2003,236,,/title/tt0325980/
1,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.017142290003921,1975,237,,/title/tt0071411/
2,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.01654211520998,1959,238,,/title/tt0053198/
3,El pecado compartido,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.015974014806416,1966,239,,/title/tt0060827/
4,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.015964259167902,1995,240,,/title/tt0113247/
1,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.015547768725058,2005,241,,/title/tt0476735/
2,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.015251092794783,1979,242,,/title/tt0079470/
3,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.013851227463899,1965,243,,/title/tt0059742/
4,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.01369487188692,1934,244,,/title/tt0025316/
1,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.009132015319972,2016,245,,/title/tt4016934/
2,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.007222784639932,1982,246,,/title/tt0083987/
3,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.007146466396986,1992,247,,/title/tt0103639/
4,Historias cruzadas,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.004910302737485,2011,248,,/title/tt1454029/
1,La bella y la bestia,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.003561607364118,1991,249,,/title/tt0101414/
2,Danza con lobos,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.001859387689144,1990,250,,/title/tt0099348/
